".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.445904714694874,37,"Left_IFOF",27,56,-0.02,0.95,"small"
"pre","0","1",0.11153524015022,37,"Left_ILF",27,56,-0.38,0.53,"negligible"
"pre","0","1",0.170149175950933,37,"Left_SLF",27,56,-0.35,0.68,"negligible"
"pre","0","1",0.0348833354626956,37,"Right_Arcuate",27,56,-0.52,0.61,"negligible"
"pre","0","1",0.271628241238545,37,"Right_IFOF",27,56,-0.18,0.77,"small"
"pre","0","1",0.0379203547868685,37,"Right_ILF",27,56,-0.4,0.47,"negligible"
"pre","0","1",0.274023743698234,37,"Right_SLF",27,56,-0.16,0.81,"small"
"pre","0","1",0.185250347494522,38,"Left_Arcuate",27,56,-0.27,0.7,"negligible"
"pre","0","1",0.398071311409009,38,"Left_IFOF",27,56,-0.02,0.93,"small"
"pre","0","1",0.114448950027545,38,"Left_ILF",27,56,-0.36,0.57,"negligible"
"pre","0","1",0.26015791267297,38,"Left_SLF",27,56,-0.21,0.77,"small"
"pre","0","1",0.0202897108949105,38,"Right_Arcuate",27,56,-0.55,0.61,"negligible"
"pre","0","1",0.195741082435837,38,"Right_IFOF",27,56,-0.27,0.64,"negligible"
"pre","0","1",0.0317080626954737,38,"Right_ILF",27,56,-0.37,0.46,"negligible"
"pre","0","1",0.284904855889493,38,"Right_SLF",27,56,-0.19,0.76,"small"
"pre","0","1",0.121675067121617,39,"Left_Arcuate",27,56,-0.35,0.63,"negligible"
"pre","0","1",0.390772498497802,39,"Left_IFOF",27,56,-0.07,0.89,"small"
"pre","0","1",0.122491892670357,39,"Left_ILF",27,56,-0.34,0.58,"negligible"
"pre","0","1",0.356964720614275,39,"Left_SLF",27,56,-0.13,0.91,"small"
